userName,ExperimentState,ReflectionPhasePart,condition,elapsedTime,headsetPosX,headsetPosY,headsetPosZ,ControllerLeftPosX,ControllerLeftPosY,ControllerLeftPosZ,ControllerRightPosX,ControllerRightPosY,ControllerRightPosZ,headsetRotEulerX,headsetRotEulerY,headsetRotEulerZ,headsetRotInspectorX,headsetRotInspectorY,headsetRotInspectorZ,controllerLeftRotEulerX,controllerLeftRotEulerY,controllerLeftRotEulerZ,controllerLeftRotInspectorX,controllerLeftRotInspectorY,controllerLefttRotInspectorZ,controllerRightRotEulerX,controllerRightRotEulerY,controllerRightRotEulerZ,controllerRightRotInspectorX,controllerRightRotInspectorY,controllerRighttRotInspectorZ,rawSliderValue,convertedSliderValue,button,side,status
Andi,Reflective,Intro,Tabletop,1.908707,-1.227009,0.6016301,-0.7013433,-1.224415,0.6173962,-0.9973929,0,0,0,350.9977,249.8988,4.836312,-9.002001,-110.101,4.836,344.505,240.3036,29.09818,-15.495,-119.696,29.098,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,2.043189,-1.227278,0.601655,-0.7015781,-1.224422,0.6176515,-0.9972632,0,0,0,350.9864,249.8876,4.825612,-9.014001,-110.112,4.826,344.5009,240.2946,29.10509,-15.499,-119.705,29.105,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,2.181197,-1.227277,0.6017252,-0.7012247,-1.224394,0.6174558,-0.9969954,0,0,0,350.9844,249.8978,4.819125,-9.016001,-110.102,4.819,344.4969,240.3111,29.09888,-15.503,-119.689,29.099,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,2.327852,-1.22724,0.6016785,-0.7015852,-1.224616,0.6174481,-0.9979744,0,0,0,350.9904,249.9066,4.844396,-9.01,-110.093,4.844,344.4978,240.3051,29.09682,-15.502,-119.695,29.097,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,2.492426,-1.227053,0.6016985,-0.7014963,-1.224615,0.6174917,-0.99775,0,0,0,350.9945,249.9063,4.845359,-9.005,-110.094,4.845,344.4962,240.3042,29.10312,-15.504,-119.696,29.103,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,2.638397,-1.227023,0.6016191,-0.7014382,-1.224282,0.6174775,-0.9974902,0,0,0,350.9775,249.9125,4.821525,-9.023001,-110.087,4.822,344.4924,240.3014,29.09791,-15.508,-119.699,29.098,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,2.792121,-1.227203,0.601622,-0.7014782,-1.224368,0.6177111,-0.9974139,0,0,0,350.994,249.8927,4.82703,-9.006001,-110.107,4.827,344.4975,240.2995,29.1007,-15.503,-119.7,29.101,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,2.926253,-1.22698,0.601606,-0.701112,-1.224137,0.6177266,-0.9963849,0,0,0,351.0036,249.8963,4.833298,-8.996,-110.104,4.833,344.4874,240.3134,29.09005,-15.513,-119.687,29.09,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,3.059537,-1.227121,0.6016041,-0.7012244,-1.224268,0.6177813,-0.9962442,0,0,0,350.9882,249.9029,4.830198,-9.012,-110.097,4.83,344.493,240.3083,29.09184,-15.507,-119.692,29.092,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,3.194396,-1.226991,0.6016679,-0.7011347,-1.224135,0.6178205,-0.9962637,0,0,0,350.9941,249.8997,4.833769,-9.006001,-110.1,4.834,344.4738,240.3014,29.09993,-15.526,-119.699,29.1,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,3.329122,-1.227133,0.6016685,-0.7013215,-1.224211,0.6177857,-0.9967406,0,0,0,350.9889,249.8998,4.834947,-9.011001,-110.1,4.835,344.4743,240.3107,29.10019,-15.526,-119.689,29.1,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,3.468131,-1.227153,0.6017517,-0.7011393,-1.224516,0.617566,-0.9972012,0,0,0,350.9924,249.9165,4.819746,-9.008,-110.083,4.82,344.4864,240.3126,29.09193,-15.514,-119.687,29.092,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,3.623327,-1.227083,0.6017006,-0.7013842,-1.224323,0.617565,-0.9975059,0,0,0,351.0011,249.9026,4.831701,-8.999001,-110.097,4.832,344.4698,240.3072,29.09916,-15.53,-119.693,29.099,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,3.76737,-1.227087,0.6017004,-0.70121,-1.224319,0.6176564,-0.9966085,0,0,0,351.0103,249.9063,4.825686,-8.990001,-110.094,4.826,344.4722,240.3079,29.0888,-15.528,-119.692,29.089,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,3.911577,-1.227167,0.6016803,-0.7013372,-1.224486,0.617686,-0.9971542,0,0,0,351.0155,249.8944,4.83822,-8.984,-110.106,4.838,344.4797,240.303,29.10371,-15.52,-119.697,29.104,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,4.042293,-1.227076,0.6016234,-0.7013674,-1.224229,0.6175679,-0.9969683,0,0,0,351.0032,249.916,4.831059,-8.997001,-110.084,4.831,344.4774,240.3076,29.10342,-15.523,-119.692,29.103,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,4.188817,-1.227064,0.6017236,-0.701381,-1.224227,0.6178943,-0.996604,0,0,0,351.0234,249.9003,4.847126,-8.977,-110.1,4.847,344.4826,240.3067,29.08936,-15.517,-119.693,29.089,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,4.330011,-1.22713,0.6017016,-0.7013062,-1.224295,0.6178222,-0.9966638,0,0,0,350.9985,249.8975,4.839201,-9.002001,-110.102,4.839,344.4815,240.3119,29.08527,-15.518,-119.688,29.085,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,4.469557,-1.227348,0.6016819,-0.7015967,-1.224384,0.6179847,-0.9966557,0,0,0,350.9986,249.9076,4.83695,-9.001,-110.092,4.837,344.4832,240.3228,29.08562,-15.517,-119.677,29.086,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,4.608351,-1.227276,0.6015807,-0.7016934,-1.22436,0.6179127,-0.9968131,0,0,0,350.9974,249.9072,4.837125,-9.003,-110.093,4.837,344.4821,240.3167,29.09316,-15.518,-119.683,29.093,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,4.742796,-1.227158,0.6016595,-0.7018057,-1.22406,0.6181918,-0.9960923,0,0,0,350.9994,249.908,4.827684,-9.001,-110.092,4.828,344.4664,240.3174,29.0922,-15.534,-119.683,29.092,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,4.881854,-1.227146,0.6016114,-0.7015269,-1.224042,0.6181312,-0.9960239,0,0,0,350.9825,249.9081,4.824675,-9.018001,-110.092,4.825,344.466,240.3212,29.08333,-15.534,-119.679,29.083,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,5.01318,-1.227135,0.6016312,-0.7013838,-1.224232,0.6180615,-0.996402,0,0,0,350.9814,249.9114,4.836875,-9.019,-110.089,4.837,344.4827,240.3202,29.08335,-15.517,-119.68,29.083,0,0,0,0,0,0,1,988.6462,,,
