userName,ExperimentState,ReflectionPhasePart,condition,elapsedTime,distanceTraveled,headsetPosX,headsetPosY,headsetPosZ,ControllerLeftPosX,ControllerLeftPosY,ControllerLeftPosZ,ControllerRightPosX,ControllerRightPosY,ControllerRightPosZ,headsetRotEulerX,headsetRotEulerY,headsetRotEulerZ,headsetRotInspectorX,headsetRotInspectorY,headsetRotInspectorZ,controllerLeftRotEulerX,controllerLeftRotEulerY,controllerLeftRotEulerZ,controllerLeftRotInspectorX,controllerLeftRotInspectorY,controllerLefttRotInspectorZ,controllerRightRotEulerX,controllerRightRotEulerY,controllerRightRotEulerZ,controllerRightRotInspectorX,controllerRightRotInspectorY,controllerRighttRotInspectorZ,rawSliderValue,convertedSliderValue,isKidneyVisible,ToggleHead,ToggleRight,ToggleLeft,ToggleTissue,TaskVisible1,TaskVisible2,TaskVisible3,TaskVisible4,TaskVisible5,TaskVisible6,TaskVisible7,TaskVisible8,TaskVisible9,TaskVisible10,TaskVisible11,TaskVisible12,TaskVisible13,TaskVisible14,
Andi,Reflective,Intro,Standup,1.952963,4.305978,-1.004216,1.805306,0.3278443,-0.6337016,1.33403,0.09647584,-0.5741895,1.308362,0.009479523,309.8492,121.1195,6.282763,-50.151,121.12,6.283,291.0675,65.09932,334.6892,-68.93301,65.09901,-25.311,315.5271,137.2191,304.0635,-44.473,137.219,-55.936,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,2.076358,4.373134,-0.9412196,1.8119,0.3088479,-0.6216743,1.320441,0.1015966,-0.5591326,1.29224,0.01602459,319.6404,116.4331,8.280516,-40.36,116.433,8.281,293.3396,66.43842,330.9841,-66.66,66.438,-29.016,317.8612,132.8607,306.9612,-42.139,132.861,-53.039,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,2.199839,4.483213,-0.8485038,1.777321,0.2652758,-0.6019378,1.306594,0.1026075,-0.5373711,1.274428,0.01958776,332.1661,107.053,0.8034369,-27.834,107.053,0.803,295.3466,69.29173,325.9354,-64.653,69.292,-34.065,320.6945,129.8243,308.6608,-39.305,129.824,-51.339,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,2.322916,4.543301,-0.8096012,1.733691,0.2610132,-0.579906,1.296219,0.1082394,-0.5125061,1.260843,0.02598166,344.1019,101.1285,354.9089,-15.898,101.129,-5.091,297.6461,69.42207,323.2637,-62.354,69.422,-36.736,323.4328,126.2369,310.7051,-36.567,126.237,-49.295,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,2.447717,4.575681,-0.7839019,1.725786,0.2778928,-0.5539522,1.287754,0.1211475,-0.4830899,1.25062,0.04136896,350.0475,93.59101,357.2034,-9.952001,93.591,-2.797,300.2124,66.53788,322.6234,-59.788,66.538,-37.377,325.2984,121.2227,313.5369,-34.702,121.223,-46.463,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,2.56933,4.597461,-0.7713093,1.72142,0.2948065,-0.5310593,1.28319,0.140568,-0.4558432,1.244718,0.06480742,351.2336,87.22458,358.3782,-8.766001,87.22501,-1.622,301.9981,63.52922,322.1129,-58.002,63.529,-37.887,326.6083,116.5258,315.2798,-33.392,116.526,-44.72,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,2.699438,4.617307,-0.7682973,1.719052,0.3129488,-0.5088594,1.284307,0.1812751,-0.4267628,1.2471,0.1105876,354.6126,79.99098,359.3614,-5.387,79.991,-0.6390001,304.6452,55.45063,325.2746,-55.355,55.451,-34.725,327.2283,108.6263,319.5688,-32.772,108.626,-40.431,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,2.8231,4.63735,-0.7706844,1.711835,0.3308974,-0.4895908,1.301856,0.2330382,-0.4084423,1.26922,0.161885,359.0927,78.13888,358.316,-0.9070001,78.139,-1.684,307.8342,49.48176,331.1065,-52.166,49.482,-28.894,325.9044,103.955,323.1884,-34.096,103.955,-36.812,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,2.943625,4.660096,-0.779513,1.694991,0.3422032,-0.4763575,1.333928,0.2812712,-0.3970466,1.29712,0.2137854,6.435192,78.77325,356.8937,6.435,78.773,-3.106,310.0428,51.61718,328.0948,-49.957,51.617,-31.905,328.5595,102.1475,323.2881,-31.441,102.147,-36.712,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,3.071486,4.678615,-0.7916919,1.692076,0.3552536,-0.4783558,1.361801,0.3339882,-0.4017226,1.325617,0.2667906,6.978196,78.74609,358.1701,6.978,78.746,-1.83,312.0986,52.18268,327.8792,-47.901,52.183,-32.121,329.6149,100.9821,323.5448,-30.385,100.982,-36.455,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
