userName,ExperimentState,ReflectionPhasePart,condition,elapsedTime,distanceTraveled,headsetPosX,headsetPosY,headsetPosZ,ControllerLeftPosX,ControllerLeftPosY,ControllerLeftPosZ,ControllerRightPosX,ControllerRightPosY,ControllerRightPosZ,headsetRotEulerX,headsetRotEulerY,headsetRotEulerZ,headsetRotInspectorX,headsetRotInspectorY,headsetRotInspectorZ,controllerLeftRotEulerX,controllerLeftRotEulerY,controllerLeftRotEulerZ,controllerLeftRotInspectorX,controllerLeftRotInspectorY,controllerLefttRotInspectorZ,controllerRightRotEulerX,controllerRightRotEulerY,controllerRightRotEulerZ,controllerRightRotInspectorX,controllerRightRotInspectorY,controllerRighttRotInspectorZ,rawSliderValue,convertedSliderValue,isKidneyVisible,ToggleHead,ToggleRight,ToggleLeft,ToggleTissue,TaskVisible1,TaskVisible2,TaskVisible3,TaskVisible4,TaskVisible5,TaskVisible6,TaskVisible7,TaskVisible8,TaskVisible9,TaskVisible10,TaskVisible11,TaskVisible12,TaskVisible13,TaskVisible14,
Andi,Reflective,Intro,Standup,4.368999,9.279235,-0.6555232,1.201608,-0.1266511,0,0,0,0,0,0,10.38478,42.21323,352.2674,10.385,42.213,-7.733,0,0,0,0,0,0,0,0,0,0,0,0,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
Andi,Reflective,Intro,Standup,4.501854,9.318754,-0.6859141,1.219637,-0.1426395,0,0,0,0,0,0,359.6884,35.65583,353.0436,-0.312,35.656,-6.956,0,0,0,0,0,0,0,0,0,0,0,0,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
Andi,Reflective,Intro,Standup,4.639397,9.342679,-0.7023914,1.225669,-0.1588285,0,0,0,0,0,0,355.7236,35.05716,354.4103,-4.276,35.057,-5.59,0,0,0,0,0,0,0,0,0,0,0,0,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
Andi,Reflective,Intro,Standup,4.794229,9.353481,-0.7104736,1.2295,-0.1636564,-0.5508694,1.325453,0.2725319,-0.2669708,1.303965,0.0257647,352.9631,35.13395,355.7786,-7.037,35.134,-4.221,298.0514,354.4693,18.1103,-61.949,-5.531,18.11,303.9834,112.4524,2.795751,-56.017,112.452,2.796,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
Andi,Reflective,Intro,Standup,4.92721,9.367556,-0.7153032,1.235642,-0.1523492,-0.5067284,1.250999,0.2264578,-0.2874316,1.21528,0.07667184,350.0561,24.65505,357.8199,-9.944,24.655,-2.18,306.6599,13.78401,27.40235,-53.34,13.784,27.402,334.1396,77.14382,354.0224,-25.86,77.144,-5.978,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
Andi,Reflective,Intro,Standup,5.060663,9.387435,-0.7012502,1.239103,-0.1418174,-0.4460677,1.156987,0.1989257,-0.3083869,1.155367,0.09450638,350.3835,21.72067,357.8316,-9.617001,21.721,-2.168,315.1581,27.36172,22.23685,-44.842,27.362,22.237,328.3734,76.57745,355.774,-31.627,76.577,-4.226,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
Andi,Reflective,Intro,Standup,5.330781,9.430957,-0.661078,1.233927,-0.1547725,-0.4509527,1.089371,0.1963702,-0.2720697,1.058038,0.06797945,356.3026,49.34255,354.5922,-3.697,49.343,-5.408,314.1132,37.26928,351.7754,-45.887,37.269,-8.225,323.6013,70.36317,359.7028,-36.399,70.36301,-0.297,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
Andi,Reflective,Intro,Standup,5.467086,9.447002,-0.6611941,1.229118,-0.1692036,-0.4838432,1.039844,0.1864253,-0.251586,0.997377,0.0198828,357.0549,61.26445,353.0338,-2.945,61.264,-6.966001,320.0064,44.65893,353.4244,-39.994,44.659,-6.576,315.7812,78.12663,359.386,-44.219,78.12701,-0.614,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
Andi,Reflective,Intro,Standup,5.597211,9.465376,-0.6717888,1.218451,-0.1791368,-0.5048766,1.007463,0.1781671,-0.2469906,0.94963,0.003687978,359.8312,65.16025,351.618,-0.169,65.16,-8.382,327.2344,53.42905,4.358436,-32.766,53.429,4.358,318.4447,82.82595,350.6687,-41.555,82.826,-9.331,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
Andi,Reflective,Intro,Standup,5.730133,9.480009,-0.6835986,1.215439,-0.1866968,-0.5193561,1.004335,0.1611048,-0.2575707,0.9313104,-0.002035737,359.6187,68.83011,351.656,-0.381,68.83,-8.344001,328.493,57.97045,9.978592,-31.507,57.97,9.979,313.232,83.41372,348.7368,-46.768,83.414,-11.263,1,708.7605,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
