userName,ExperimentState,ReflectionPhasePart,condition,elapsedTime,distanceTraveled,headsetPosX,headsetPosY,headsetPosZ,ControllerLeftPosX,ControllerLeftPosY,ControllerLeftPosZ,ControllerRightPosX,ControllerRightPosY,ControllerRightPosZ,headsetRotEulerX,headsetRotEulerY,headsetRotEulerZ,headsetRotInspectorX,headsetRotInspectorY,headsetRotInspectorZ,controllerLeftRotEulerX,controllerLeftRotEulerY,controllerLeftRotEulerZ,controllerLeftRotInspectorX,controllerLeftRotInspectorY,controllerLefttRotInspectorZ,controllerRightRotEulerX,controllerRightRotEulerY,controllerRightRotEulerZ,controllerRightRotInspectorX,controllerRightRotInspectorY,controllerRighttRotInspectorZ,rawSliderValue,convertedSliderValue,isKidneyVisible,ToggleHead,ToggleRight,ToggleLeft,ToggleTissue,TaskVisible1,TaskVisible2,TaskVisible3,TaskVisible4,TaskVisible5,TaskVisible6,TaskVisible7,TaskVisible8,TaskVisible9,TaskVisible10,TaskVisible11,TaskVisible12,TaskVisible13,TaskVisible14,buttonName,state
R_1exhGt6rS7gfp4X,Reflective,Intro,Tabletop,0.02,1.510617,-0.9392627,1.083105,-0.4760614,-0.7339069,0,-0.5846611,-0.7339069,0,-0.5846611,7.542912,89.11255,0.5018867,7.543,-1.462,0.502,0,90.575,0,0,0,0,0,90.575,0,0,0,0,1,325.1937,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_1exhGt6rS7gfp4X,Reflective,Intro,Tabletop,0.4247547,1.564396,-0.9791564,1.110103,-0.4993176,-0.669932,0.5566416,-0.417154,-0.6470108,0.5839423,-0.5124993,356.1783,93.91115,0.2437558,-3.822,3.336,0.244,355.4913,93.19088,3.312046,-4.509,2.616,3.312,346.1393,78.61443,5.463,-13.861,-11.961,5.463,1,325.1937,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_1exhGt6rS7gfp4X,Reflective,Intro,Tabletop,0.7608726,1.582257,-0.9765595,1.104905,-0.4845653,-0.6691998,0.5607216,-0.4068196,-0.6463493,0.5797111,-0.4888082,0.1525995,89.16951,0.4164559,0.153,-1.405,0.416,357.4922,90.28851,5.539466,-2.508,-0.286,5.539,346.4421,75.89507,5.589286,-13.558,-14.68,5.589,1,325.1937,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_1exhGt6rS7gfp4X,Reflective,Intro,Tabletop,0.9044329,1.591856,-0.9835814,1.110099,-0.4815017,-0.6699367,0.5656968,-0.4088404,-0.6452855,0.582047,-0.4865656,359.3811,85.43835,359.1175,-0.619,-5.137,-0.882,356.5945,90.45883,3.90609,-3.405,-0.116,3.906,346.4276,75.55017,5.539769,-13.572,-15.025,5.54,1,325.1937,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_1exhGt6rS7gfp4X,Reflective,Intro,Tabletop,1.03334,1.645768,-1.027747,1.140121,-0.4803416,-0.671293,0.5684923,-0.4094777,-0.6418361,0.5847648,-0.4806468,344.9065,73.32899,354.4326,-15.094,-17.246,-5.567,355.5467,91.52483,2.835405,-4.453,0.95,2.835,345.8105,73.84031,6.16055,-14.189,-16.735,6.161,1,325.1937,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_1exhGt6rS7gfp4X,Reflective,Intro,Tabletop,1.168886,1.690028,-1.070836,1.147877,-0.4849438,-0.6728979,0.5748227,-0.3996629,-0.6398546,0.5865691,-0.4737335,339.0287,71.38348,355.9602,-20.971,-19.192,-4.04,352.8766,90.77779,0.8695731,-7.123,0.203,0.8700001,344.7141,73.35884,7.360015,-15.286,-17.216,7.36,1,325.1937,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_1exhGt6rS7gfp4X,Reflective,Intro,Tabletop,1.303858,1.709992,-1.090596,1.148345,-0.4874053,-0.6765847,0.5811416,-0.3911946,-0.6431292,0.5927554,-0.4641649,343.0156,75.54462,357.3249,-16.984,-15.03,-2.675,349.926,90.49115,357.5712,-10.074,-0.08400001,-2.429,342.9935,71.75902,9.438394,-17.006,-18.816,9.438001,1,325.1937,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_1exhGt6rS7gfp4X,Reflective,Intro,Tabletop,1.435316,1.722802,-1.103018,1.149632,-0.4874684,-0.679986,0.5855118,-0.3862808,-0.6465349,0.5999658,-0.458631,344.4742,75.66901,358.8715,-15.526,-14.906,-1.129,346.9317,91.73602,353.4008,-13.068,1.161,-6.599,341.7271,69.98154,10.62911,-18.273,-20.593,10.629,1,325.1937,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_1exhGt6rS7gfp4X,Reflective,Intro,Tabletop,1.557635,1.731698,-1.111389,1.150209,-0.4885859,-0.6781641,0.5846348,-0.3743683,-0.6444974,0.6030455,-0.4552404,350.3192,75.72549,0.2594199,-9.681001,-14.85,0.259,347.985,88.89006,356.8839,-12.015,-1.685,-3.116,342.1319,68.84013,5.416794,-17.868,-21.735,5.417,1,325.1937,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_1exhGt6rS7gfp4X,Reflective,Intro,Tabletop,1.677095,1.745466,-1.123644,1.150415,-0.4940324,-0.6741146,0.5826811,-0.3580679,-0.6414708,0.6081252,-0.4589389,357.1707,78.79095,0.8642138,-2.829,-11.784,0.864,347.8647,85.98627,354.7625,-12.135,-4.589,-5.238,341.5912,69.08941,4.603322,-18.409,-21.486,4.603,1,325.1937,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_1exhGt6rS7gfp4X,Reflective,Intro,Tabletop,1.802881,1.767509,-1.142896,1.14668,-0.5027103,-0.6816255,0.576946,-0.3476836,-0.6560419,0.6081687,-0.4567556,3.542323,82.80695,359.0811,3.542,-7.768001,-0.919,349.1544,86.04991,345.2569,-10.846,-4.525,-14.743,346.3562,65.35844,1.017603,-13.644,-25.217,1.018,1,325.1937,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_1exhGt6rS7gfp4X,Reflective,Intro,Tabletop,1.936262,1.800969,-1.171189,1.131543,-0.5100928,-0.7004929,0.595264,-0.3492201,-0.6906335,0.646534,-0.4612623,11.25267,85.98136,357.6338,11.253,-4.594,-2.366,346.8767,90.8505,343.4114,-13.123,0.276,-16.589,340.5082,64.79829,359.4063,-19.492,-25.777,-0.594,1,325.1937,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_1exhGt6rS7gfp4X,Reflective,Intro,Tabletop,2.074953,1.821656,-1.189804,1.125067,-0.506735,-0.7457828,0.6199843,-0.3681833,-0.6934869,0.7065215,-0.4633669,10.63027,86.6823,358.306,10.63,-3.893,-1.694,352.6793,96.05256,351.4876,-7.321001,5.478,-8.512,333.7553,63.51493,0.5940895,-26.245,-27.06,0.594,1,325.1937,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_1exhGt6rS7gfp4X,Reflective,Intro,Tabletop,2.206598,1.833418,-1.196117,1.128241,-0.5004212,-0.7744132,0.6371945,-0.3792931,-0.7445416,0.7429076,-0.4484551,7.92622,87.22421,358.6756,7.926001,-3.351,-1.324,349.325,98.75727,350.5945,-10.675,8.182,-9.405001,328.6586,59.21365,5.925479,-31.341,-31.361,5.925,1,325.1937,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_1exhGt6rS7gfp4X,Reflective,Intro,Tabletop,2.342506,1.844663,-1.189787,1.13321,-0.4938288,-0.7824438,0.6195207,-0.3760494,-0.7516727,0.7393699,-0.4594808,6.700398,85.73873,0.6306791,6.7,-4.836,0.631,350.209,97.4686,344.5208,-9.791,6.894001,-15.479,328.716,60.62116,5.651616,-31.284,-29.954,5.652,1,325.1937,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_1exhGt6rS7gfp4X,Reflective,Intro,Tabletop,2.456907,1.853312,-1.181351,1.133208,-0.4930543,-0.7907241,0.6373836,-0.3866624,-0.7569447,0.7296336,-0.4791745,6.885433,84.92234,0.2585143,6.885,-5.653,0.259,339.8794,99.48549,338.6264,-20.121,8.910001,-21.374,328.6874,63.84235,3.265751,-31.313,-26.733,3.266,1,325.1937,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_1exhGt6rS7gfp4X,Reflective,Intro,Tabletop,2.59064,1.862931,-1.173439,1.132541,-0.4980917,-0.80416,0.6779072,-0.3785545,-0.7685451,0.7370527,-0.5235925,7.081661,86.33187,359.7224,7.082,-4.243,-0.278,322.4774,94.74687,345.3623,-37.523,4.172,-14.638,321.1691,76.79022,355.762,-38.831,-13.785,-4.238,1,325.1937,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_1exhGt6rS7gfp4X,Reflective,Intro,Tabletop,2.708575,1.872961,-1.173609,1.132944,-0.5078726,-0.8081665,0.7191588,-0.3498803,-0.7899839,0.73228,-0.5873232,7.066175,92.50025,0.4870303,7.066,1.925,0.487,315.8823,84.01768,0.9126615,-44.118,-6.557,0.913,317.2488,85.02379,351.1715,-42.751,-5.551,-8.828,1,325.1937,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_1exhGt6rS7gfp4X,Reflective,Intro,Tabletop,2.848104,1.886417,-1.182013,1.133928,-0.5177706,-0.8013037,0.7430942,-0.3327048,-0.7676979,0.7437463,-0.5952983,6.322747,97.97039,0.5349743,6.323,7.395,0.535,314.7805,79.669,4.322105,-45.22,-10.906,4.322,320.3653,82.77504,358.8654,-39.635,-7.8,-1.135,1,325.1937,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
