userName,ExperimentState,ReflectionPhasePart,condition,elapsedTime,distanceTraveled,headsetPosX,headsetPosY,headsetPosZ,ControllerLeftPosX,ControllerLeftPosY,ControllerLeftPosZ,ControllerRightPosX,ControllerRightPosY,ControllerRightPosZ,headsetRotEulerX,headsetRotEulerY,headsetRotEulerZ,headsetRotInspectorX,headsetRotInspectorY,headsetRotInspectorZ,controllerLeftRotEulerX,controllerLeftRotEulerY,controllerLeftRotEulerZ,controllerLeftRotInspectorX,controllerLeftRotInspectorY,controllerLefttRotInspectorZ,controllerRightRotEulerX,controllerRightRotEulerY,controllerRightRotEulerZ,controllerRightRotInspectorX,controllerRightRotInspectorY,controllerRighttRotInspectorZ,rawSliderValue,convertedSliderValue,isKidneyVisible,ToggleHead,ToggleRight,ToggleLeft,ToggleTissue,TaskVisible1,TaskVisible2,TaskVisible3,TaskVisible4,TaskVisible5,TaskVisible6,TaskVisible7,TaskVisible8,TaskVisible9,TaskVisible10,TaskVisible11,TaskVisible12,TaskVisible13,TaskVisible14,buttonName,state
R_6r2lo5DyZwXOI5H,Reflective,Main,Tabletop,0.02,1.736428,-1.220081,1.125888,-0.5088835,-0.7339069,0,-0.5846611,-0.7339069,0,-0.5846611,0.07100101,95.8343,356.8824,0.071,5.259,-3.118,0,90.575,0,0,0,0,0,90.575,0,0,0,0,1,379.7368,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_6r2lo5DyZwXOI5H,Reflective,Main,Tabletop,0.4147492,1.77335,-1.248837,1.143268,-0.4936478,-0.8813816,0.7490402,-0.3936937,-0.8956156,0.7409588,-0.6362264,348.192,87.51925,357.6216,-11.808,-3.056,-2.378,324.3287,92.4,7.800714,-35.671,1.825,7.801001,316.1686,94.19795,359.0432,-43.831,3.623,-0.957,1,379.7368,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_6r2lo5DyZwXOI5H,Reflective,Main,Tabletop,0.734502,1.780416,-1.248075,1.140969,-0.4872321,-0.8820291,0.748935,-0.3943149,-0.8957838,0.7418378,-0.6369518,350.3168,83.4696,358.6834,-9.683001,-7.105,-1.317,324.2486,92.40752,7.830007,-35.751,1.833,7.83,316.0841,94.32542,359.0435,-43.916,3.75,-0.956,1,379.7368,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_6r2lo5DyZwXOI5H,Reflective,Main,Tabletop,0.871403,1.78644,-1.246526,1.138646,-0.4819824,-0.8821956,0.7485539,-0.3946513,-0.8955568,0.7410833,-0.6363267,351.9885,79.61591,358.959,-8.012,-10.959,-1.041,324.302,92.47704,7.366443,-35.698,1.902,7.366,316.2163,94.15617,359.0546,-43.784,3.581,-0.9450001,1,379.7368,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_6r2lo5DyZwXOI5H,Reflective,Main,Tabletop,1.019475,1.79041,-1.243868,1.136158,-0.4807986,-0.8805851,0.7466466,-0.3939459,-0.8947083,0.7386986,-0.6338565,353.7753,79.68636,359.196,-6.225,-10.889,-0.804,324.8111,92.33068,6.27274,-35.189,1.756,6.273,316.7999,93.35749,359.6242,-43.2,2.782,-0.376,1,379.7368,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_6r2lo5DyZwXOI5H,Reflective,Main,Tabletop,1.144392,1.793866,-1.2414,1.13452,-0.4824685,-0.8774934,0.7436129,-0.3908693,-0.8920045,0.7353437,-0.6331027,355.2807,80.98355,359.0428,-4.719,-9.591001,-0.957,326.0537,90.94403,5.845275,-33.946,0.369,5.845,318.1641,92.82934,1.102768,-41.836,2.254,1.103,1,379.7368,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_6r2lo5DyZwXOI5H,Reflective,Main,Tabletop,1.277637,1.799329,-1.239794,1.133094,-0.4874204,-0.8753986,0.7406436,-0.3882636,-0.8860625,0.7279793,-0.6369532,356.517,83.92715,358.819,-3.483,-6.648,-1.181,327.0261,89.76306,5.690719,-32.974,-0.812,5.691,321.0815,93.68768,3.549175,-38.918,3.113,3.549,1,379.7368,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_6r2lo5DyZwXOI5H,Reflective,Main,Tabletop,1.417003,1.807049,-1.238386,1.132467,-0.4949605,-0.8742558,0.7398114,-0.385286,-0.8809433,0.72417,-0.6428532,357.1584,88.26971,358.2401,-2.842,-2.305,-1.76,327.3775,88.61347,5.623671,-32.623,-1.962,5.624,323.1027,95.22239,5.304152,-36.897,4.647,5.304,1,379.7368,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_6r2lo5DyZwXOI5H,Reflective,Main,Tabletop,1.548069,1.813808,-1.236557,1.132009,-0.5014198,-0.8735626,0.7394519,-0.3835253,-0.8802487,0.7270665,-0.6474859,357.5486,91.58709,357.7381,-2.451,1.012,-2.262,327.3913,87.78807,5.657487,-32.609,-2.787,5.657,322.2809,96.09592,7.365289,-37.719,5.521,7.365,1,379.7368,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
R_6r2lo5DyZwXOI5H,Reflective,Main,Tabletop,1.682903,1.819032,-1.234519,1.130992,-0.5061011,-0.8744365,0.7400869,-0.3833926,-0.8825276,0.7323925,-0.6494188,358.4468,94.27407,357.2867,-1.553,3.699,-2.713,326.9169,87.4704,4.277661,-33.083,-3.105,4.278,320.5681,96.26395,9.395673,-39.432,5.689,9.396001,1,379.7368,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
